"Tamanho","Tecnica","Tempo","qtd_veh","seed"
"0200m","Fluxo",5201,6456,"seed49"
"0200m","Between",7164.9,8195,"seed49"
"0200m","Hibrido",4947.3,6296,"seed49"
"0200m","Degree",6953.8,10227,"seed49"
"0400m","Fluxo",5937.6,12287,"seed49"
"0400m","Between",11008.7,13622,"seed49"
"0400m","Hibrido",8613.6,12553,"seed49"
"0400m","Degree",11008.8,14003,"seed49"
"0600m","Fluxo",10048.7,14470,"seed49"
"0600m","Between",11738.4,13671,"seed49"
"0600m","Hibrido",10861.1,14616,"seed49"
"0600m","Degree",11738.4,13671,"seed49"
"0800m","Fluxo",15757.3,16241,"seed49"
"0800m","Between",17008.8,16018,"seed49"
"0800m","Hibrido",15763.5,16296,"seed49"
"0800m","Degree",17008.8,16018,"seed49"
"1000m","Fluxo",16814.6,16436,"seed49"
"1000m","Between",16938.2,16100,"seed49"
"1000m","Hibrido",16814.6,16436,"seed49"
"1000m","Degree",16938.2,16100,"seed49"
"0200m","Fluxo",4754.15352112676,5799,"seed1028"
"0400m","Fluxo",5427.46816901408,11037,"seed1028"
"0600m","Fluxo",9185.36098591549,12998,"seed1028"
"0800m","Fluxo",14403.5038028169,14589,"seed1028"
"1000m","Fluxo",15369.9653521127,14764,"seed1028"
"0200m","Between",6072.25275,7339,"seed1028"
"0400m","Between",9329.87325,12198,"seed1028"
"0600m","Between",9948.294,12242,"seed1028"
"0800m","Between",14414.958,14344,"seed1028"
"1000m","Between",14355.1245,14417,"seed1028"
"0200m","Hibrido",4323.51,5020,"seed1028"
"0400m","Hibrido",7527.53739130435,10008,"seed1028"
"0600m","Hibrido",9491.65695652174,11653,"seed1028"
"0800m","Hibrido",13775.9282608696,12992,"seed1028"
"1000m","Hibrido",14694.4982608696,13104,"seed1028"
"0200m","Degree",6189.50846846847,9173,"seed1028"
"0400m","Degree",9798.82378378378,12560,"seed1028"
"0600m","Degree",10448.2335135135,12262,"seed1028"
"0800m","Degree",15139.3643243243,14367,"seed1028"
"1000m","Degree",15076.523963964,14441,"seed1028"
