"Tamanho","Tecnica","Tempo","qtd_veh","seed"
"0200m","Fluxo",4618,1497,"seed49"
"0200m","Between",4654,1246,"seed49"
"0200m","Hibrido",2980,1241,"seed49"
"0200m","Degree",2852,1263,"seed49"
"0400m","Fluxo",2948,621,"seed49"
"0400m","Between",5925,1240,"seed49"
"0400m","Hibrido",5799,3127,"seed49"
"0400m","Degree",4194,1284,"seed49"
"0600m","Fluxo",5683,4062,"seed49"
"0600m","Between",5918,5598,"seed49"
"0600m","Hibrido",5627,6872,"seed49"
"0600m","Degree",6352,7180,"seed49"
"0800m","Fluxo",7431,5313,"seed49"
"0800m","Between",12122,8086,"seed49"
"0800m","Hibrido",8586,7992,"seed49"
"0800m","Degree",11442,10087,"seed49"
"1000m","Fluxo",7584,11574,"seed49"
"1000m","Between",13579,24062,"seed49"
"1000m","Hibrido",7689,12048,"seed49"
"1000m","Degree",11860,21902,"seed49"
"0200m","Fluxo",4221.24225352113,1345,"seed1028"
"0400m","Fluxo",2694.72112676056,558,"seed1028"
"0600m","Fluxo",5194.74225352113,3649,"seed1028"
"0800m","Fluxo",6792.56197183099,4772,"seed1028"
"1000m","Fluxo",6932.41690140845,10396,"seed1028"
"0200m","Between",3944.265,1116,"seed1028"
"0400m","Between",5021.4375,1110,"seed1028"
"0600m","Between",5015.505,5013,"seed1028"
"0800m","Between",10273.395,7241,"seed1028"
"1000m","Between",11508.2025,21547,"seed1028"
"0200m","Hibrido",2604.26086956522,989,"seed1028"
"0400m","Hibrido",5067.82173913044,2493,"seed1028"
"0600m","Hibrido",4917.50869565217,5479,"seed1028"
"0800m","Hibrido",7503.41739130435,6372,"seed1028"
"1000m","Hibrido",6719.51739130435,9605,"seed1028"
"0200m","Degree",2538.53693693694,1133,"seed1028"
"0400m","Degree",3733.03783783784,1152,"seed1028"
"0600m","Degree",5653.85225225225,6440,"seed1028"
"0800m","Degree",10184.4108108108,9048,"seed1028"
"1000m","Degree",10556.4684684685,19645,"seed1028"
"0200m","Fluxo",4104.1661971831,1346,"seed189"
"0400m","Fluxo",2619.98309859155,558,"seed189"
"0600m","Fluxo",5050.6661971831,3651,"seed189"
"0800m","Fluxo",6604.17042253521,4776,"seed189"
"1000m","Fluxo",6740.14647887324,10404,"seed189"
"0200m","Between",4153.695,1129,"seed189"
"0400m","Between",5288.0625,1123,"seed189"
"0600m","Between",5281.815,5070,"seed189"
"0800m","Between",10818.885,7324,"seed189"
"1000m","Between",12119.2575,21794,"seed189"
"0200m","Hibrido",2662.5652173913,1025,"seed189"
"0400m","Hibrido",5181.28043478261,2584,"seed189"
"0600m","Hibrido",5027.60217391304,5678,"seed189"
"0800m","Hibrido",7671.40434782609,6603,"seed189"
"1000m","Hibrido",6869.95434782609,9954,"seed189"
"0200m","Degree",2538.53693693694,1139,"seed189"
"0400m","Degree",3733.03783783784,1158,"seed189"
"0600m","Degree",5653.85225225225,6477,"seed189"
"0800m","Degree",10184.4108108108,9100,"seed189"
"1000m","Degree",10556.4684684685,19759,"seed189"
"0200m","Fluxo",4286.28450704225,1342,"seed21877"
"0400m","Fluxo",2736.24225352113,557,"seed21877"
"0600m","Fluxo",5274.78450704225,3642,"seed21877"
"0800m","Fluxo",6897.22394366197,4763,"seed21877"
"1000m","Fluxo",7039.2338028169,10377,"seed21877"
"0200m","Between",4130.425,1116,"seed21877"
"0400m","Between",5258.4375,1111,"seed21877"
"0600m","Between",5252.225,5016,"seed21877"
"0800m","Between",10758.275,7245,"seed21877"
